log2FoldChange,pvalue,padj
-1.261233,1.41184e-05,0.0003337954
-0.9549185,0.0001274357,0.001809121
-1.499308,8.996551e-08,6.992569e-06
-0.7156613,0.004145314,0.02438558
-0.5550451,0.04417485,0.1365884
0.7646251,2.558371e-05,0.0005131598
0.4671478,0.02313326,0.08520824
0.5498556,0.00290096,0.01899255
-1.645396,1.67174e-07,1.129878e-05
-1.403833,8.769341e-08,6.902249e-06
-1.066384,1.152541e-05,0.0002855179
-0.8519744,0.003399886,0.02126588
0.6729442,0.001841288,0.01356532
0.5955468,0.0305865,0.1047555
-0.4929003,0.04207088,0.1321196
0.6373263,0.01989152,0.07700272
0.4272488,0.01334315,0.05789791
0.2658257,0.03852294,0.1246932
0.8740673,0.0009798157,0.008357331
-0.5978712,0.02131889,0.08048623
-0.4428118,0.04899309,0.1468848
0.5905229,0.001629448,0.01235598
0.5546751,0.001333215,0.01061451
0.3728852,0.04187054,0.1319569
0.6566789,0.001146604,0.009405785
0.5173969,0.009504968,0.04535546
0.6752516,0.007510419,0.03830991
-0.5770733,0.01361977,0.05889273
-0.5313138,0.04331334,0.1344595
-1.772155,3.759427e-09,5.194693e-07
-0.8576032,0.0004151247,0.004442763
-1.170123,1.63761e-05,0.0003637893
0.5736311,0.0004063553,0.004412432
-0.6231883,0.02481677,0.08914539
-0.5695115,0.03168183,0.1072388
-0.9844861,0.0002862542,0.003449474
-0.6767645,0.01330953,0.05783273
-0.8064859,0.002930618,0.01912128
-1.218996,5.399498e-05,0.0009249156
-0.6425462,0.01819309,0.0720539
-0.6455554,0.01725746,0.06972505
-0.5402479,0.01082484,0.05011829
0.5028514,0.03319603,0.1109747
-0.5459726,0.02953035,0.1019543
-0.8733392,0.002798241,0.01850053
-1.168876,4.854216e-08,4.528026e-06
-0.9683565,5.403169e-08,4.82165e-06
0.5615253,0.01101801,0.05056573
-0.7062711,0.002583463,0.01753709
0.7499982,0.005027818,0.0282667
0.3278311,0.0473632,0.1439568
-0.5026428,0.0460117,0.1406592
-1.049637,0.0005960671,0.005827587
0.5311694,0.02447356,0.08842335
0.7160344,0.002671904,0.01799989
0.5956287,0.001344953,0.01069427
0.7444986,5.326895e-06,0.0001562388
-0.8851576,2.519797e-06,8.919942e-05
0.3316334,0.03666805,0.1198979
-0.6408553,0.003550562,0.02188047
-0.5685141,0.01319497,0.05741519
0.5305031,0.002158645,0.01516662
0.6327639,0.01269235,0.05578223
0.3424484,0.04196911,0.1320308
-0.5911191,0.03298873,0.1104004
-0.4384072,0.03378653,0.112465
0.4561771,0.04722077,0.1436491
0.4981348,0.001130638,0.009321828
0.5378875,0.008540471,0.0419468
0.5453225,1.638163e-05,0.0003637893
0.5188115,0.004714574,0.02687005
0.601063,0.0003491572,0.003961787
0.4488486,0.009045381,0.04374092
0.4108097,0.008167061,0.04052896
-0.3935801,0.03449262,0.1145087
-0.809959,0.00275543,0.01834396
0.7658847,0.006111627,0.03267592
-1.75241,2.063859e-06,7.730768e-05
0.515681,0.0006118932,0.005946427
0.6835248,0.001672195,0.01255447
-0.8069254,3.21502e-05,0.0006208383
-1.49827,4.297077e-06,0.0001335961
0.3241298,0.04648155,0.1417471
0.4397411,0.01953946,0.07603027
0.7466348,0.001533158,0.01186964
0.4014719,0.02100466,0.07958987
0.5389257,1.925716e-05,0.0004124082
-0.5877089,0.004108555,0.02426115
-0.4540157,0.04200682,0.1320308
-0.9327398,0.001580586,0.01207381
-1.29227,9.027457e-06,0.0002354049
-0.9196934,0.001088523,0.009012566
-0.3824306,0.02673472,0.09413165
0.8357828,2.523522e-05,0.0005111554
0.4793728,0.04527673,0.1389589
0.800882,3.540374e-05,0.0006670923
0.8667738,7.149269e-07,3.631832e-05
-0.5267548,0.01792456,0.07153716
0.5919778,0.0002263305,0.002846387
0.428499,0.005752359,0.0311841
-1.195342,1.930054e-05,0.0004124082
-0.6888,0.001167244,0.009499897
0.6480893,0.001954404,0.01423007
0.5345066,0.00214709,0.01513448
0.6637193,8.750426e-07,4.060459e-05
-0.6852321,0.01256861,0.055466
-0.6721262,0.01289725,0.05639601
0.9348623,0.0001121688,0.00163341
-0.7532575,0.00789901,0.03957779
0.6373924,0.003815373,0.023033
0.641434,6.371172e-05,0.001037067
0.3998655,0.02984922,0.1027553
0.3888958,0.04353291,0.134939
-0.5034973,0.01122346,0.05116384
-0.4875682,0.03293,0.1102632
-1.458297,1.06928e-07,8.01058e-06
-0.5018145,0.02568268,0.09131666
0.4355924,0.04504343,0.138575
0.6024936,0.003284697,0.02077746
0.4527487,0.01078442,0.05000559
-0.3873979,0.02864679,0.09951158
0.6679379,0.002577032,0.01751255
0.7278101,0.001997242,0.01442375
-1.506958,4.220626e-06,0.0001318787
-0.7784147,0.00148375,0.01157586
0.3481196,0.01736706,0.06998599
-0.5062442,0.03138113,0.1068023
-1.295083,2.191085e-05,0.00045263
-0.5016081,0.03979395,0.1276305
0.616337,0.006267584,0.03339489
-0.4567382,0.03325474,0.1111112
-1.44118,4.404315e-11,2.466495e-08
-1.282701,5.258652e-08,4.808574e-06
0.477351,0.02993971,0.1029674
0.6536156,0.003400787,0.02126588
-1.350972,2.923915e-06,0.0001010485
-0.5427401,0.01810118,0.07191894
0.3730572,0.005045443,0.02834017
0.4750401,0.01057681,0.04933728
0.5990047,6.066152e-05,0.001007665
0.5820041,0.00569648,0.03095618
0.5740952,0.001133371,0.009321828
0.4703343,0.02855026,0.09923171
0.6529629,0.00042703,0.004538927
0.7195231,0.0003077227,0.003603427
0.7250599,0.000581675,0.005704819
0.4416193,0.03916774,0.1261238
-1.219881,6.175187e-05,0.001015802
-1.03466,0.0007450239,0.006749395
-0.5886336,0.02445131,0.08842335
0.7258383,0.00209852,0.01491268
0.3522706,0.04893911,0.1468646
0.7593709,5.760342e-05,0.0009680488
